category,name,image_url,description,price,url
Desktop,AMD Ryzen 5 3400G Processor Gaming Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-3400g-processor-gaming-pc-003-228x228.webp,"[{'feature': 'AMD Ryzen 5 3400G Processor with Radeon RX Vega 11 Graphics'}, {'feature': 'GIGABYTE B450M K AMD AM4 Micro ATX Motherboard'}, {'feature': 'Colorful Battle-AX DDR4 8GB 3200MHz Desktop RAM'}, {'feature': 'Colorful CN600 PRO 256GB M.2 NVMe SSD'}]","23,350৳",
Desktop,AMD Ryzen 5 3400G Processor Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-3400g-processor-desktop-pc-003-228x228.webp,"[{'feature': 'AMD Ryzen 5 3400G Processor with Radeon RX Vega 11 Graphics'}, {'feature': 'MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard'}, {'feature': 'Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM'}, {'feature': 'MiPhi MP300G3 256GB M.2 PCIe Gen3 NVMe SSD'}]","23,500৳",
Desktop,Asus PN41 Celeron N5100 Mini PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/asus/pn41/pn41-01-228x228.webp,"[{'feature': 'Processor: Intel Celeron N5100 Processor, 6W TDP'}, {'feature': 'Graphics: Integrated, Intel UHD Graphics'}, {'feature': 'Intel Wi-Fi 5 (Gig+), Bluetooth 5.0 (Barebone SKU)'}, {'feature': 'LAN: 1x 10/100/1000/2500 Mbps, 2.5G LAN'}]","26,000৳",
Desktop,Intel Core i3-12100 12th Gen Budget Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i3-12100-12th-gen-budget-desktop-pc-003-228x228.webp,"[{'feature': 'Intel Core i3-12100 12th Gen Alder Lake Processor (Tray)'}, {'feature': 'MSI PRO H610M-E DDR4 mATX Motherboard'}, {'feature': 'Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM'}, {'feature': 'MiPhi MP300G3 256GB M.2 PCIe Gen3 NVMe SSD'}]","29,500৳",
Desktop,AMD Ryzen 5 5600G Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600g-desktop-pc-003-228x228.webp,"[{'feature': 'AMD Ryzen 5 5600G Processor with Radeon Graphics (Chinese Edition)'}, {'feature': 'GIGABYTE B450M K AMD AM4 Micro ATX Motherboard'}, {'feature': 'Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM'}, {'feature': 'HP EX900 PLUS 256GB M.2 PCIe NVMe Internal SSD'}]","30,900৳",
Desktop,AMD Ryzen 5 5600G Custom Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600g-custom-desktop-pc-003-228x228.webp,"[{'feature': 'AMD Ryzen 5 5600G Processor with Radeon Graphics (Tray Box)'}, {'feature': 'MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard'}, {'feature': 'Colorful Battle-AX DDR4 8GB 3200MHz Desktop RAM'}, {'feature': 'MiPhi MP300G3 256GB M.2 PCIe Gen3 NVMe SSD'}]","28,999৳",
Desktop,AMD Ryzen 5 5600G Budget Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600g-budget-desktop-pc-003-228x228.webp,"[{'feature': 'AMD Ryzen 5 5600G Processor with Radeon Graphics (Chinese Edition)'}, {'feature': 'MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard'}, {'feature': 'Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM'}, {'feature': 'MiPhi MP300G3 256GB M.2 PCIe Gen3 NVMe SSD'}]","29,350৳",
Desktop,AMD Ryzen 5 5600GT Budget Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600gt-desktop-pc-009-228x228.webp,"[{'feature': 'AMD Ryzen 5 5600GT AM4 Processor with Radeon Graphics'}, {'feature': 'MSI A520M-A PRO AM4 AMD ATX MOTHERBOARD'}, {'feature': 'Team T-Force Vulcan Z 8GB DDR4 3200MHz CL16 Gaming RAM'}, {'feature': 'Lexar NM620 256GB M.2 NVMe SSD'}]","29,500৳",
Desktop,Intel 10th Gen Core i5-10400 Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-10th-gen-core-i5-10400-desktop-pc-004-228x228.webp,"[{'feature': 'Intel 10th Gen Core i5-10400 Processor'}, {'feature': 'GIGABYTE H470M H 11th and 10th Gen Micro ATX Motherboard'}, {'feature': 'Corsair Vengeance LPX 8GB 3200MHz DDR4 RAM'}, {'feature': 'Team MP33 256GB M.2 PCIe SSD'}]","32,500৳",
Desktop,AMD Ryzen 7 5700G Custom Desktop PC,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-5700g-custom-desktop-pc-005-228x228.webp,"[{'feature': 'AMD Ryzen 7 5700G Processor with Radeon Graphics'}, {'feature': 'GIGABYTE A520M K V2 AM4 Micro ATX Motherboard'}, {'feature': 'Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM'}, {'feature': 'Colorful CN600 PRO 256GB M.2 NVMe SSD'}]","32,300৳",
