category,name,image_url,description,price,url
printer,,https://www.ryans.com/storage/products/small/k2-pvc-11638164384.webp,"[{'feature': 'Type - PVC Card'}, {'feature': 'Color - White'}]","Tk
                                                    15",https://www.ryans.com/pvc-card
printer,,https://www.ryans.com/storage/products/small/k2-cr-80-proximity-mango-ir-ide-11726136214.webp,"[{'feature': 'Type - IR IDE Card'}, {'feature': 'Color - White'}]","Tk
                                                    35",https://www.ryans.com/cr-80-proximity-mango-ir-ide-card
printer,,https://www.ryans.com/storage/products/small/power-print-tn-1035-black-toner-with-11716267961.webp,"[{'feature': 'Item Category - Printer Toner'}, {'feature': 'Printing Color - Black'}, {'feature': 'Printing Technology - Laser'}, {'feature': 'Duty Cycle up to (Yield) - 1200 Pages'}]","Tk
                                                    1,000",https://www.ryans.com/power-print-tn-1035-black-toner
printer,,https://www.ryans.com/storage/products/small/k2-ion-805xxl-200-pages-color-ink-11726134767.webp,"[{'feature': 'Printing Color - Tri-Color'}, {'feature': 'Printing Technology - Ink'}, {'feature': 'Duty Cycle up to (Yield) - 200 Pages'}]","Tk
                                                    1,200",https://www.ryans.com/ion-805xxl-200-pages-color-ink-cartridge
printer,,https://www.ryans.com/storage/products/small/pantum-p2500w-single-function-mono-laser-11547111209.webp,"[{'feature': 'Functions - Print Only'}, {'feature': 'Output Color - Black & White'}, {'feature': 'Print Speed (Black) - 22ppm(A4), 23ppm(LTR)'}, {'feature': 'Print Paper Size Max. - Legal'}, {'feature': 'Interface (Built-in) - USB, WiFi'}, {'feature': 'Body Color - Black'}]","Tk
                                                    12,000",https://www.ryans.com/pantum-p2500w-single-function-mono-laser-printer
printer,,https://www.ryans.com/storage/products/small/rongta-rpp04-portable-label-printer-4-inch-11596710235.webp,"[{'feature': 'Type - Barcode Label Printer'}, {'feature': 'Cutter - Unmentioned'}, {'feature': 'Max. Print Speed - 50 mm/sec'}, {'feature': 'Tape Size - 40 mm'}, {'feature': 'Maximum Tape Width - 110 mm'}, {'feature': 'Interface (Built-in) - WU, BU, BWU'}, {'feature': 'Housing color - Black & Orange'}]","Tk
                                                    15,200",https://www.ryans.com/rongta-rpp04-portable-label-printer-4-inch-203dpi
printer,,https://www.ryans.com/storage/products/small/pantum-m6700dw-all-in-one-mono-laser-11570701769.webp,"[{'feature': 'Functions - Print, Scan, Copy'}, {'feature': 'Output Color - Black & White'}, {'feature': 'Print Speed (Black) - 30ppm(A4), 32ppm(LTR)'}, {'feature': 'Print Paper Size Max. - Legal'}, {'feature': 'Interface (Built-in) - USB, LAN, WiFi'}, {'feature': 'Body Color - White'}]","Tk
                                                    20,000",https://www.ryans.com/pantum-m6700dw-multifunction-mono-laser-printer
printer,,https://www.ryans.com/storage/products/small/epson-ecotank-l3210-a4-multifunction-inktank-11696577645.webp,"[{'feature': 'Functions - Print, Scan, Copy'}, {'feature': 'Output Color - Color'}, {'feature': 'Print Speed (Black) - 10ipm(ISO) (A4), 33ppm(Draft) (A4)'}, {'feature': 'Print Speed (Color) - 5ipm(ISO) (A4), 15ppm(Draft) (A4)'}, {'feature': 'Print Paper Size Max. - Legal'}, {'feature': 'Interface (Built-in) - USB'}, {'feature': 'Body Color - Black'}]","Tk
                                                    18,000",https://www.ryans.com/epson-ecotank-l3210-a4-multifunction-inktank-printer
printer,,https://www.ryans.com/storage/products/small/evolis-normal-pvc-11567228033.webp,"[{'feature': 'Type - PVC Card'}, {'feature': 'Color - White'}]","Tk
                                                    20",https://www.ryans.com/evolis-normal-pvc-card
printer,,https://www.ryans.com/storage/products/small/k2-mango-tk-28-rfid-11726139092.webp,"[{'feature': 'Type - RFID Card'}, {'feature': 'Punching Capacity - No'}, {'feature': 'Material - PVC'}, {'feature': 'Color - White'}]","Tk
                                                    30",https://www.ryans.com/mango-tk-28-rfid-card
printer,,https://www.ryans.com/storage/products/small/zebra-pvc-card-11728302258.webp,"[{'feature': 'Type - PVC Card'}, {'feature': 'Color - White'}]","Tk
                                                    35",https://www.ryans.com/zebra-pvc-card
printer,,https://www.ryans.com/storage/products/small/k2-001-white-rfid-11723028482.webp,"[{'feature': 'Type - RFID Card'}, {'feature': 'Color - White'}]","Tk
                                                    35",https://www.ryans.com/001-white-rfid-card
printer,,https://www.ryans.com/storage/products/small/k2-58mm-2-inch-thermal-pos-paper-11704975802.webp,"[{'feature': 'Type - Paper Roll'}, {'feature': 'Paper Sizes - 58mm x 40m'}, {'feature': 'Tape Width - 58mm'}, {'feature': 'Tape Length - 40 Meter'}, {'feature': 'Color - White'}]","Tk
                                                    40",https://www.ryans.com/58mm-2-inch-thermal-pos-paper-roll
printer,,https://www.ryans.com/storage/products/small/k2-56mm-x-38mm-22-14-inch-thermal-pos-paper-11733835364.webp,"[{'feature': 'Type - Paper Roll'}, {'feature': 'Paper Sizes - 56mm x 38mm'}, {'feature': 'Number of Labels Per Roll - 500 PCs'}, {'feature': 'Color - White'}]","Tk
                                                    55",https://www.ryans.com/56mm-x-38mm-2.2-1.4-inch-thermal-pos-paper-roll
printer,,https://www.ryans.com/storage/products/small/k2-78mm-x-51m-3-inch-thermal-pos-paper-11638164214.webp,"[{'feature': 'Type - Paper Roll'}, {'feature': 'Paper Sizes - 78mm x 51m'}, {'feature': 'Tape Width - 78mm'}, {'feature': 'Tape Length - 51 Meter'}, {'feature': 'Color - White'}]","Tk
                                                    60",https://www.ryans.com/78mm-x-51m-3-inch-thermal-pos-paper-roll
printer,,https://www.ryans.com/storage/products/small/k2-78mm-x-51m-3-inch-thermal-pos-paper-roll-11713869603.webp,"[{'feature': 'Type - Paper Roll'}, {'feature': 'Paper Sizes - 78mm x 51m'}, {'feature': 'Tape Width - 78mm'}, {'feature': 'Tape Length - 51 Meter'}, {'feature': 'Color - White'}]","Tk
                                                    70",https://www.ryans.com/78mm-x-51m-3-inch-thermal-pos-paper-roll-requires-ribbon
printer,,https://www.ryans.com/storage/products/small/k2-78mmx56m-3-inch-thermal-pos-paper-11647430310.webp,"[{'feature': 'Type - Paper Roll'}, {'feature': 'Paper Sizes - 78mm x 56m'}, {'feature': 'Tape Width - 78mm'}, {'feature': 'Tape Length - 56 Meter'}, {'feature': 'Color - White'}]","Tk
                                                    100",https://www.ryans.com/78mmx56m-3-inch-thermal-pos-paper-roll
printer,,https://www.ryans.com/storage/products/small/k2-38mm-x-25mm-15-01-inch-direct-thermal-label-11659847460.webp,"[{'feature': 'Type - Label Roll'}, {'feature': 'Paper Sizes - 38mm x 25mm'}, {'feature': 'Number of Labels Per Roll - 1000 PCs'}, {'feature': 'Color - White'}]","Tk
                                                    200",https://www.ryans.com/38mm-x-25mm-1.5-01-inch-direct-thermal-label-roll-1-up-single-1000-ps
printer,,https://www.ryans.com/storage/products/small/k2-38mm-x-25mm-15-01-inch-direct-thermal-11691586391.webp,"[{'feature': 'Type - Label Roll'}, {'feature': 'Paper Sizes - 38mm x 25mm'}, {'feature': 'Number of Labels Per Roll - 1000 PCs'}, {'feature': 'Color - White'}]","Tk
                                                    200",https://www.ryans.com/38mm-x-25mm-1.5-01-inch-direct-thermal-label-roll-1-up-single-1000-pc
