Brand,Model,128GB 12GB RAM_128GB 12GB RAM,128GB 12GB RAM_256GB 12GB RAM,128GB 12GB RAM_256GB 8GB RAM,128GB 12GB RAM_512GB 12GB RAM,128GB 12GB RAM_512GB 16GB RAM,128GB 16GB RAM_128GB 16GB RAM,128GB 16GB RAM_256GB 16GB RAM,128GB 16GB RAM_512GB 16GB RAM,128GB 4GB RAM_128GB 4GB RAM,128GB 4GB RAM_128GB 6GB RAM,128GB 4GB RAM_128GB 8GB RAM,128GB 4GB RAM_256GB 4GB RAM,128GB 4GB RAM_256GB 6GB RAM,128GB 4GB RAM_256GB 8GB RAM,128GB 4GB RAM_512GB 4GB RAM,128GB 4GB RAM_512GB 8GB RAM,128GB 4GB RAM_64GB 3GB RAM,128GB 4GB RAM_64GB 4GB RAM,128GB 4GB RAM_64GB 6GB RAM,128GB 6GB RAM_128GB 4GB RAM,128GB 6GB RAM_128GB 6GB RAM,128GB 6GB RAM_128GB 8GB RAM,128GB 6GB RAM_256GB 12GB RAM,128GB 6GB RAM_256GB 6GB RAM,128GB 6GB RAM_256GB 8GB RAM,128GB 6GB RAM_512GB 6GB RAM,128GB 6GB RAM_64GB 4GB RAM,128GB 6GB RAM_64GB 6GB RAM,128GB 8GB RAM_128GB 12GB RAM,128GB 8GB RAM_128GB 4GB RAM,128GB 8GB RAM_128GB 6GB RAM,128GB 8GB RAM_128GB 8GB RAM,128GB 8GB RAM_256GB 12GB RAM,128GB 8GB RAM_256GB 16GB RAM,128GB 8GB RAM_256GB 8GB RAM,128GB 8GB RAM_512GB 12GB RAM,128GB 8GB RAM_512GB 8GB RAM,128GB 8GB RAM_64GB 4GB RAM,128MB 48MB RAM_128MB 48MB RAM,128MB 64MB RAM_128MB 64MB RAM,164MB_164MB,16GB 1.5GB RAM_16GB 1.5GB RAM,16GB 2GB RAM_16GB 2GB RAM,1TB 16GB RAM_1TB 16GB RAM,1TB 16GB RAM_512GB 12GB RAM,1TB 24GB RAM_1TB 24GB RAM,256GB 12GB RAM_128GB 12GB RAM,256GB 12GB RAM_128GB 8GB RAM,256GB 12GB RAM_1TB 12GB RAM,256GB 12GB RAM_1TB 16GB RAM,256GB 12GB RAM_1TB 24GB RAM,256GB 12GB RAM_256GB 12GB RAM,256GB 12GB RAM_256GB 16GB RAM,256GB 12GB RAM_256GB 8GB RAM,256GB 12GB RAM_512GB 12GB RAM,256GB 12GB RAM_512GB 16GB RAM,256GB 16GB RAM_1TB 16GB RAM,256GB 16GB RAM_256GB 16GB RAM,256GB 16GB RAM_512GB 16GB RAM,256GB 4GB RAM_128GB 4GB RAM,256GB 4GB RAM_256GB 4GB RAM,256GB 4GB RAM_64GB 4GB RAM,256GB 6GB RAM_256GB 6GB RAM,256GB 8GB RAM_128GB 4GB RAM,256GB 8GB RAM_128GB 6GB RAM,256GB 8GB RAM_128GB 8GB RAM,256GB 8GB RAM_1TB 8GB RAM,256GB 8GB RAM_256GB 12GB RAM,256GB 8GB RAM_256GB 8GB RAM,256GB 8GB RAM_512GB 12GB RAM,256GB 8GB RAM_512GB 8GB RAM,256GB 8GB RAM_64GB 4GB RAM,32GB 1GB RAM_32GB 1GB RAM,32GB 2GB RAM_128GB 4GB RAM,32GB 2GB RAM_32GB 2GB RAM,32GB 2GB RAM_32GB 3GB RAM,32GB 2GB RAM_64GB 3GB RAM,32GB 2GB RAM_64GB 4GB RAM,32GB 3GB RAM_128GB 4GB RAM,32GB 3GB RAM_32GB 3GB RAM,32GB 3GB RAM_64GB 3GB RAM,32GB 3GB RAM_64GB 4GB RAM,32GB/64GB 2GB RAM_32GB/64GB 2GB RAM,32GB_32GB,4GB 512MB RAM_4GB 512MB RAM,512GB 12GB RAM_1TB 12GB RAM,512GB 12GB RAM_1TB 16GB RAM,512GB 12GB RAM_256GB 12GB RAM,512GB 12GB RAM_256GB 8GB RAM,512GB 12GB RAM_512GB 12GB RAM,512GB 12GB RAM_512GB 16GB RAM,512GB 16GB RAM_512GB 16GB RAM,512GB 8GB RAM_128GB 8GB RAM,512GB 8GB RAM_256GB 8GB RAM,512GB 8GB RAM_512GB 8GB RAM,512GB_512GB,64GB 2GB RAM_64GB 2GB RAM,64GB 3GB RAM_128GB 3GB RAM,64GB 3GB RAM_128GB 4GB RAM,64GB 3GB RAM_128GB 6GB RAM,64GB 3GB RAM_256GB 3GB RAM,64GB 3GB RAM_32GB 2GB RAM,64GB 3GB RAM_64GB 3GB RAM,64GB 3GB RAM_64GB 4GB RAM,64GB 4GB RAM_128GB 4GB RAM,64GB 4GB RAM_128GB 6GB RAM,64GB 4GB RAM_128GB 8GB RAM,64GB 4GB RAM_256GB 4GB RAM,64GB 4GB RAM_256GB 6GB RAM,64GB 4GB RAM_32GB 3GB RAM,64GB 4GB RAM_512GB 4GB RAM,64GB 4GB RAM_64GB 3GB RAM,64GB 4GB RAM_64GB 4GB RAM,64GB 4GB RAM_64GB 6GB RAM,64GB 6GB RAM_128GB 6GB RAM,64GB 6GB RAM_128GB 8GB RAM,64GB 6GB RAM_64GB 6GB RAM,64GB_64GB,8GB_8GB,Battery_Charging,Battery_Music play,Battery_Stand-by,Battery_Talk time,Battery_Type,Body_Build,Body_Dimensions,Body_Keyboard,Body_SIM,Body_Weight,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display_Protection,Display_Resolution,Display_Size,Display_Type,EU LABEL_Battery,EU LABEL_Energy,EU LABEL_Free fall,EU LABEL_Repairability,Features_Alarm,Features_Browser,Features_Clock,Features_Games,Features_Java,Features_Languages,Features_Messaging,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Dual,Main Camera_Dual or Triple,Main Camera_Features,Main Camera_Five,Main Camera_Penta,Main Camera_Quad,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Memory_Call records,Memory_Card slot,Memory_Internal,Memory_Phonebook,Misc_Colors,Misc_Models,Misc_Price,Misc_SAR,Misc_SAR EU,Network_2G bands,Network_3G bands,Network_4G bands,Network_5G bands,Network_EDGE,Network_GPRS,Network_Speed,Network_Technology,Our Tests_Audio quality,Our Tests_Battery,Our Tests_Battery (old),Our Tests_Camera,Our Tests_Display,Our Tests_Loudspeaker,Our Tests_Performance,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera_Dual,Selfie camera_Features,Selfie camera_Single,Selfie camera_Triple,Selfie camera_Video,Sound_3.5mm jack,Sound_Alert types,Sound_Loudspeaker,Unspecified_Unspecified
Samsung,Samsung Galaxy F07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹ 7,499",,,,,,,25W wired,,,,5000 mAh,"Glass front, plastic back, plastic frame",167.4 x 77.4 x 7.6 mm (6.59 x 3.05 x 0.30 in),,Nano-SIM + Nano-SIM,184 g (6.49 oz),"5.3, A2DP, LE",,No,"GPS, GALILEO, GLONASS, BDS, QZSS",FM radio,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)","6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)","PLS LCD, 90Hz",,,,,,,,,,,,"Fingerprint (side-mounted), accelerometer, proximity","2025, October 04","Available. Released 2025, October 04","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)",,LED flash,,,,,,1080p@30fps,,microSDXC (dedicated slot),64GB 4GB RAM,,Green,"SM-E075F/DS, SM-E075F","₹ 7,499",0.24 W/kg (head),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA, LTE",GSM / HSPA / LTE,,,,,,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mediatek Helio G99 (6 nm),Mali-G57 MC2,"Android 15, up to 6 major Android upgrades, One UI 7",,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,Yes,Yes,,Yes,
Samsung,Samsung Galaxy M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹ 6,799",,,,,,,25W wired,,,,5000 mAh,"Glass front, plastic back, plastic frame",167.4 x 77.4 x 7.6 mm (6.59 x 3.05 x 0.30 in),,Nano-SIM + Nano-SIM,184 g (6.49 oz),"5.3, A2DP, LE",,No,"GPS, GALILEO, GLONASS, BDS, QZSS",FM radio,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)","6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)","PLS LCD, 90Hz",,,,,,,,,,,,"Fingerprint (side-mounted), accelerometer, proximity","2025, October 01","Available. Released 2025, October 01","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)",,LED flash,,,,,,1080p@30fps,,microSDXC (dedicated slot),64GB 4GB RAM,,Black,"SM-M075F/DS, SM-M075F","₹ 6,799",0.24 W/kg (head),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA, LTE",GSM / HSPA / LTE,,,,,,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mediatek Helio G99 (6 nm),Mali-G57 MC2,"Android 15, up to 6 major Android upgrades, One UI 7",,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,Yes,Yes,,Yes,
Samsung,Samsung Galaxy A17,,,,,,,,,$ 183.00,,,,,$ 223.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25W wired,,,,5000 mAh,"Glass front (Gorilla Glass Victus+), plastic back, plastic frame",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),,Nano-SIMNano-SIM + Nano-SIM,190 g (6.70 oz),"5.3, A2DP, LE",,Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",FM radio (market/region dependent),USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","Corning Gorilla Glass Victus+, Mohs level 5","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)","Super AMOLED, 90Hz","51:33h endurance, 1200 cycles",Class A,Class B (180 falls),Class C,,,,,,,,"Fingerprint (side-mounted), accelerometer, compass","2025, September 18","Available. Released 2025, September 18",,,"LED flash, panorama, HDR",,,,,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)",1080p@30fps,,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 256GB 8GB RAM",,"Black, Gray, Light blue","SM-A175F, SM-A175F/DS, SM-A175M, SM-A175M/DS, SM-A175F/DSB",$ 183.00 / € 170.00 / £ 155.00,,0.37 W/kg (head)     1.18 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA, LTE",GSM / HSPA / LTE,,,,,,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mediatek Helio G99 (6 nm),Mali-G57 MC2,"Android 15, up to 6 major Android upgrades, One UI 7",,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,1080p@30fps,No,,Yes,
Samsung,Samsung Galaxy Tab A11+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25W wired,,,,Li-Po 7040 mAh,,257.1 x 168.7 x 6.9 mm (10.12 x 6.64 x 0.27 in),,Nano-SIM + eSIM (cellular model only),-,"5.1, A2DP, LE",,No,"GPS, GLONASS, GALILEO, BDS, QZSS - cellular model only",No,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)","11.0 inches, 350.9 cm2 (~80.9% screen-to-body ratio)","TFT LCD, 90Hz",,,,,,,,,,,,"Accelerometer, gyro, proximity (accessories only), compass","2025, September 29","Coming soon. Exp. release 2025, December",,,,,,,"8 MP, AF",,1080p@30fps,,microSDXC (dedicated slot),"128GB, 256GB",,"Gray, Silver","SM-X230, SM-X235, SM-X236B",,,,GSM 850 / 900 / 1800 / 1900 - cellular model only,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - cellular model only,LTE - cellular model only,SA/NSA/Sub6 - cellular model only,,,"HSPA, LTE, 5G - cellular model only",GSM / HSPA / LTE / 5G,,,,,,,,,,,"Android 16, up to 7 major Android upgrades, One UI 8",,,5 MP,,1080p@30fps,Yes,,"Yes, with stereo speakers (4 speakers)",
Samsung,Samsung Galaxy Tab A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15W wired,,,,5100 mAh,,211 x 124.7 x 8 mm (8.31 x 4.91 x 0.31 in),,Nano-SIM (cellular model only),335 g or 337 g (11.82 oz),"5.3, A2DP, LE",,No,"GPS, GLONASS, BDS, GALILEO, QZSS - cellular model only",No,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"800 x 1340 pixels, 5:3 ratio (~179 ppi density)","8.7 inches, 214.9 cm2 (~81.7% screen-to-body ratio)","TFT LCD, 90Hz",,,,,,,,,,,,"Accelerometer, proximity, compass","2025, September 12","Available. Released 2025, September",,,,,,,"8 MP, AF",,1080p@30fps,,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 8GB RAM",,"Gray, Silver","SM-X133, SM-X135",,,0.29 W/kg (body),GSM 850 / 900 / 1800 / 1900 - cellular model only,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - cellular model only,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66 - cellular model only",,,,"HSPA, LTE - cellular model only",GSM / HSPA / LTE,,,,,,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mediatek Helio G99 (6 nm),Mali-G57 MC2,"Android 15, One UI 7",,,5 MP,,Yes,Yes,,"Yes, with stereo speakers (with Dolby Atmos)",
Samsung,Samsung Galaxy F17 5G,,,,,,,,,"₹ 14,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25W wired,,,,Li-Ion 5000 mAh,"Glass front (Gorilla Glass Victus), plastic frame, glass fiber back",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),,Nano-SIM + Nano-SIM,192 g (6.77 oz),"5.3, A2DP, LE",,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Corning Gorilla Glass Victus,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)","Super AMOLED, 90Hz, 1100 nits (HBM)",,,,,,,,,,,,"Fingerprint (side-mounted), accelerometer, gyro, compass","2025, September 11","Available. Released 2025, September 14",,,"LED flash, panorama, HDR",,,,,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)","1080p@30fps, gyro-EIS",,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM",,"Black, Violet",SM-E176B/DS,"₹ 14,500",0.64 W/kg (head),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6",,,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,,,,,,,,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Exynos 1330 (5 nm),Mali-G68 MP2,"Android 15, up to 6 major Android upgrades, One UI 7",,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,1080p@30fps,No,,Yes,
Samsung,Samsung Galaxy S25 Fe 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$ 499.99,,,$ 689.00,,£ 799.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45W wired, PD, QC2, 65% in 30 min
15W wireless, Qi2 compatible
Reverse wireless",,,,4900 mAh,"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",161.3 x 76.6 x 7.4 mm (6.35 x 3.02 x 0.29 in),,Nano-SIMNano-SIM + Nano-SIMNano-SIM + eSIMeSIM + eSIM,190 g (6.70 oz),"5.4, A2DP, LE",,Yes,"GPS, GLONASS, GALILEO, BDS",Unspecified,"USB Type-C 3.2, OTG","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (market/region dependent), Wi-Fi Direct","Corning Gorilla Glass Victus+, Mohs level 5","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~89.2% screen-to-body ratio)","Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)","42:37h endurance, 2000 cycles",Class B,Class A (270 falls),Class C,,,,,,,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","2025, September 04","Available. Released 2025, September 04",,,"LED flash, HDR, panorama",,,,,"50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS
8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps; gyro-EIS, HDR",,No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,"Icyblue, Jetblack, Navy, White","SM-S731B, SM-S731B/DS","$ 499.99 / € 549.00 / £ 649.00 / ₹ 65,999",,0.54 W/kg (head)     1.57 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,SA/NSA/Sub6,,,"HSPA, LTE (CA), 5G",GSM / HSPA / LTE / 5G,,Active use score 11:57h,,,1247 nits max brightness (measured),-25.6 LUFS (Very good),"AnTuTu: 1521140 (v10)
GeekBench: 6948 (v6)
3DMark: 4262 (Wild Life Extreme)",10-core (1x3.2GHz Cortex-X4 & 2x2.9GHz Cortex-A720 & 3x2.6GHz Cortex-A720 & 4x1.95GHz Cortex-A520),Exynos 2400 (4 nm),Xclipse 940,"Android 16, up to 7 major Android upgrades, One UI 8",,,"12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm",,"4K@30/60fps, 1080p@30/60fps; gyro-EIS, HDR",No,,"Yes, with stereo speakers",
Samsung,Samsung Galaxy Tab S11 Ultra 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,193.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45W wired,,,,Li-Po 11600 mAh,"Glass front, aluminum frame, aluminum back",326.3 x 208.5 x 5.1 mm (12.85 x 8.21 x 0.20 in),,Nano-SIM + eSIM (cellular model only),692 g or 695 g (1.53 lb),"5.4, A2DP, LE",,No,"GPS, GLONASS, BDS, GALILEO",No,"USB Type-C 3.2, magnetic connector","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Mohs level 5,"1848 x 2960 pixels, 16:10 ratio (~239 ppi density)","14.6 inches, 617.8 cm2 (~90.8% screen-to-body ratio)","Dynamic AMOLED 2X, 120Hz, HDR10+, 1000 nits (typ), 1600 nits (peak)","94:51h endurance, 1200 cycles",Class G,Class E (0 falls),Class C,,,,,,,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","2025, September 04","Available. Released 2025, September 04","13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF
8 MP, f/2.2, (ultrawide)",,"LED flash, HDR, panorama",,,,,,"4K@30fps, 1080p@30fps",,microSDXC (dedicated slot),"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",,"Moonstone Gray, Platinum Silver","SM-X930, SM-X936B, SM-X936N, SM-X930N","$ 1,193.94",,0.80 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,SA/NSA/Sub6,,,"HSPA, LTE (CA), 5G - cellular model only",GSM / HSPA / LTE / 5G,,,,,,,,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,"Android 16, One UI 8",,HDR,"12 MP, f/2.4, 120˚ (ultrawide)",,"4K@30fps, 1080p@30fps",No,,"Yes, with stereo speakers (4 speakers)",
Samsung,Samsung Galaxy Tab S11 5G,$ 899.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45W wired,,,,Li-Po 8400 mAh,"Glass front, aluminum frame, aluminum back",253.8 x 165.3 x 5.5 mm (9.99 x 6.51 x 0.22 in),,Nano-SIM + eSIM (cellular model only),469 g or 471 g (1.03 lb),"5.4, A2DP, LE",,No,"GPS, GLONASS, BDS, GALILEO - cellular model only",No,"USB Type-C 3.2, magnetic connector","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct",Mohs level 5,"1600 x 2560 pixels, 16:10 ratio (~274 ppi density)","11.0 inches, 350.9 cm2 (~83.6% screen-to-body ratio)","Dynamic AMOLED 2X, 120Hz, HDR10+, 1000 nits (typ), 1600 nits (peak)","81:01h endurance, 1200 cycles",Class G,Class E (0 falls),Class C,,,,,,,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","2025, September 04","Available. Released 2025, September 04",,,"LED flash, HDR, panorama",,,,"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF",,"4K@30fps, 1080p@30fps",,microSDXC (dedicated slot),"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"Moonstone Gray, Platinum Silver","SM-X730, SM-X736, SM-X736B",$ 899.99,,0.99 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,SA/NSA/Sub6,,,"HSPA, LTE (CA), 5G - cellular model only",GSM / HSPA / LTE / 5G,,,,,,,,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Mediatek Dimensity 9400+ (3 nm),Immortalis-G925,"Android 16, One UI 8",,HDR,"12 MP, f/2.4, 120˚ (ultrawide)",,"4K@30fps, 1080p@30fps",No,,"Yes, with stereo speakers (4 speakers)",
Samsung,Samsung Galaxy Tab S10 Lite 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25W wired, 100% in 120 min",,,,Li-Po 8000 mAh,"Glass front, aluminum back, aluminum frame",254.3 x 165.8 x 6.6 mm (10.01 x 6.53 x 0.26 in),,Nano-SIM + eSIM (cellular model only),524 g (1.16 lb),"5.3, A2DP, LE",,No,"GPS, GALILEO, GLONASS, BDS, QZSS - cellular model only",No,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mohs level 5,"1320 x 2112 pixels, 16:10 ratio (~228 ppi density)","10.9 inches, 344.5 cm2 (~81.7% screen-to-body ratio)","TFT LCD, 90Hz","87:42h endurance, 2000 cycles",Class F,Class E (0 falls),Class C,,,,,,,,"Accelerometer, gyro, proximity (accessories only), compass (cellular model only)","2025, August 25","Available. Released 2025, August 25",,,,,,,"8 MP, (wide), AF",,1080p@30fps,,microSDXC (dedicated slot),"128GB 6GB RAM, 256GB 8GB RAM",,"Gray, Silver, Coral Red","SM-X400, SM-X406, SM-X406B",About 400 EUR,,0.92 W/kg (body),GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 71, 77, 78 SA/NSA/Sub6",,,"HSPA, LTE (CA), 5G - cellular model only",GSM / HSPA / LTE / 5G,,,,,,,,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Exynos 1380 (5 nm),Mali-G68 MP5,"Android 15, up to 7 major Android upgrades, One UI 7",,,"5 MP, (wide)",,1080p@30fps,No,,"Yes, with stereo speakers",
